Frame,Time(s) (Seconds),Position_X (m),Position_Y (m),Position_Z (m),Velocity_X (m/s),Speed,Acceleration_X,Acc_Magnitude,Force_X,Force_Magnitude,Momentum_X,Momentum_Magnitude,Impact_Displacement,Backing_Displacement,Kinetic_Energy,Potential_Energy,Total_Energy,Event
79,1.317,-4.6212,5,0.75,-0.0899,0.2711,0.2823529411764729,0.2823529411764729,0.056470588235294585,0.056470588235294585,-0.1798,0.054220000000000004,0.3788,0.0976,0.0081,14.715,14.7231,AFTER
80,1.333,-4.6226,5,0.75,-0.0854,0.2576,0.2812499999999991,0.2812499999999991,0.05624999999999983,0.05624999999999983,-0.1709,0.05152,0.3774,0.099,0.0073,14.715,14.7223,AFTER
81,1.35,-4.6239,5,0.75,-0.0812,0.2447,0.24705882352941047,0.24705882352941047,0.0494117647058821,0.0494117647058821,-0.1623,0.048940000000000004,0.3761,0.1003,0.0066,14.715,14.7216,AFTER
82,1.367,-4.6252,5,0.75,-0.0771,0.2325,0.2411764705882362,0.2411764705882362,0.048235294117647244,0.048235294117647244,-0.1542,0.04650000000000001,0.3748,0.1016,0.0059,14.715,14.7209,AFTER
83,1.383,-4.6265,5,0.75,-0.0732,0.2208,0.24374999999999983,0.24374999999999983,0.04874999999999997,0.04874999999999997,-0.1465,0.044160000000000005,0.3735,0.1028,0.0054,14.715,14.7204,AFTER
84,1.4,-4.6276,5,0.75,-0.0696,0.2098,0.2117647058823545,0.2117647058823545,0.0423529411764709,0.0423529411764709,-0.1392,0.04196,0.3724,0.104,0.0048,14.715,14.7198,AFTER
85,1.417,-4.6287,5,0.75,-0.0661,0.1993,0.2058823529411743,0.2058823529411743,0.04117647058823486,0.04117647058823486,-0.1322,0.03986000000000001,0.3713,0.1051,0.0044,14.715,14.7194,AFTER
86,1.433,-4.6298,5,0.75,-0.0628,0.1893,0.20625000000000052,0.20625000000000052,0.041250000000000106,0.041250000000000106,-0.1256,0.037860000000000005,0.3702,0.1061,0.0039,14.715,14.7189,AFTER
87,1.45,-4.6308,5,0.75,-0.0597,0.1799,0.18235294117647113,0.18235294117647113,0.03647058823529423,0.03647058823529423,-0.1193,0.035980000000000005,0.3692,0.1071,0.0036,14.715,14.7186,AFTER
88,1.467,-4.6317,5,0.75,-0.0567,0.1709,0.17647058823529296,0.17647058823529296,0.035294117647058594,0.035294117647058594,-0.1133,0.03418,0.3683,0.1081,0.0032,14.715,14.7182,AFTER
89,1.483,-4.6326,5,0.75,-0.0538,0.1623,0.18124999999999983,0.18124999999999983,0.03624999999999997,0.03624999999999997,-0.1077,0.03246,0.3674,0.109,0.0029,14.715,14.7179,AFTER
90,1.5,-4.6334,5,0.75,-0.0511,0.1542,0.15882352941176567,0.15882352941176567,0.03176470588235313,0.03176470588235313,-0.1023,0.030840000000000003,0.3666,0.1098,0.0026,14.715,14.7176,AFTER
91,1.517,-4.6343,5,0.75,-0.0486,0.1465,0.1470588235294127,0.1470588235294127,0.029411764705882543,0.029411764705882543,-0.0972,0.0293,0.3657,0.1106,0.0024,14.715,14.7174,AFTER
